what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1382450697538
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1382450697538
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1382450697538
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1382450697538
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1382450697538
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1382450697538
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1382450697538
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1382450697538
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1382450697538
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1382450697538
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20120522-1651,"org.eclipse.jdt.apt.core",1382450697538
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20120522-1651,"org.eclipse.jdt.apt.pluggable.core",1382450697538
started,bundle,org.eclipse.jdt.core,3.8.3.v20130121-145325,"org.eclipse.jdt.core",1382450697538
started,bundle,org.eclipse.jdt.core.manipulation,1.5.0.v20120523-1543,"org.eclipse.jdt.core.manipulation",1382450697538
started,bundle,org.eclipse.jdt.debug,3.7.101.v20120913-153601,"org.eclipse.jdt.debug",1382450697548
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1382450697548
started,bundle,org.eclipse.jdt.launching,3.6.101.v20130111-183046,"org.eclipse.jdt.launching",1382450697548
started,bundle,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui",1382450697548
started,bundle,org.eclipse.pde.launching,3.6.100.v20120605-203027,"org.eclipse.pde.launching",1382450697548
started,bundle,org.eclipse.pde.ui,3.7.2.v20130121-093123,"org.eclipse.pde.ui",1382450697548
started,bundle,org.eclipse.ui.trace,1.0.1.v20121204-224553,"org.eclipse.ui.trace",1382450697548
started,bundle,org.eclipse.ui.views.log,1.0.300.v20120530-1435,"org.eclipse.ui.views.log",1382450697548
started,bundle,org.eclipse.wb.discovery.core,1.5.1.r42x201209161116,"org.eclipse.wb.discovery.core",1382450697548
started,bundle,org.eclipse.wb.discovery.ui,1.5.1.r42x201209161116,"org.eclipse.wb.discovery.ui",1382450697548
started,bundle,org.eclipse.egit.core,3.0.3.201309161630-r,"org.eclipse.egit.core",1382450697548
started,bundle,org.eclipse.egit.ui,3.0.3.201309161630-r,"org.eclipse.egit.ui",1382450697548
started,bundle,org.eclipse.jgit,3.0.3.201309161630-r,"org.eclipse.jgit",1382450697548
os,sysinfo,,,"win32",1382450697558
arch,sysinfo,,,"x86_64",1382450697558
ws,sysinfo,,,"win32",1382450697558
locale,sysinfo,,,"en_US",1382450697558
processors,sysinfo,,,"4",1382450697558
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1382450697558
java.runtime.version,sysinfo,,,"1.7.0_25-b16",1382450697558
java.specification.name,sysinfo,,,"Java Platform API Specification",1382450697558
java.specification.vendor,sysinfo,,,"Oracle Corporation",1382450697558
java.specification.version,sysinfo,,,"1.7",1382450697558
java.vendor,sysinfo,,,"Oracle Corporation",1382450697558
java.version,sysinfo,,,"1.7.0_25",1382450697558
java.vm.info,sysinfo,,,"mixed mode",1382450697558
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1382450697558
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382450697558
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1382450697558
java.vm.specification.version,sysinfo,,,"1.7",1382450697558
java.vm.vendor,sysinfo,,,"Oracle Corporation",1382450697558
java.vm.version,sysinfo,,,"23.25-b01",1382450697558
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1382450697558
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382450698208
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1382450698238
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1382450701341
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1382450702339
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1382450702355
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1382450702995
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1382450703041
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1382450703057
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382450703291
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382450716448
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382450718075
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382450723254
started,bundle,org.eclipse.jdt.junit,3.7.100.v20120523-1543,"org.eclipse.jdt.junit",1382450730540
started,bundle,org.eclipse.wb.core.lib,1.5.1.r42x201209161109,"org.eclipse.wb.core.lib",1382450739572
started,bundle,org.eclipse.wb.core,1.5.1.r42x201209161109,"org.eclipse.wb.core",1382450739588
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1382450739666
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382450741335
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382450744925
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1382450767338
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1382450771519
